biased,neutral_primary,severity,tags,notes,frequency
majukumu,majukumu,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=6),6
moja,moja,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=6),6
magharibi,magharibi,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=3),3
muhimu,muhimu,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=3),3
mwanamke,mwanamke,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=3),3
mara,mara,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=3),3
mungu,mungu,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=3),3
mataifa,mataifa,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=2),2
askari,askari,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=2),2
mwanajeshi,mwanajeshi,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=2),2
majini,majini,context_dependent,"occupation,needs_validation",Extracted from Wikipedia corpus (n=2),2
