id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,translation,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,bias_severity,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,approver_id,cohen_kappa,notes,eval_split
EN-WIKI-0001,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineer,2025-11-13,"The word engineer (Latin ingeniator, the origin of the Ir",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineer. Topic: occupations.,train
EN-WIKI-0002,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineer,2025-11-13,"in the title of engineer in countries like Belgium, The Netherlands, and Indonesia) is derived from the Latin words ingeniare (""to contrive, devise"") and ingenium (""cleverness"")",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineer. Topic: occupations.,train
EN-WIKI-0003,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineer,2025-11-13,The work of engineers forms the link between scientific discoveries and their subsequent applications to human and business needs and quality of life,,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineer. Topic: occupations.,train
EN-WIKI-0004,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineer,2025-11-13,His/her work is predominantly intellectual and varied and not of a routine mental or physical character,,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineer. Topic: occupations.,train
EN-WIKI-0005,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineer,2025-11-13,It requires the exercise of original thought and judgment and the ability to supervise the technical and administrative work of others,,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineer. Topic: occupations.,train
EN-WIKI-0006,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineering,2025-11-13,"Engineering is the practice of using natural science, mathematics, and the engineering design process to solve problems within technology, increase efficiency and productivity, and improve systems",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineering. Topic: occupations.,train
EN-WIKI-0007,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineering,2025-11-13,"The traditional disciplines of engineering are civil, mechanical, electrical, and chemical",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineering. Topic: occupations.,train
EN-WIKI-0008,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineering,2025-11-13,"The academic discipline of engineering encompasses a broad range of more specialized subfields, and each can have a more specific emphasis for applications of mathematics and science",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineering. Topic: occupations.,train
EN-WIKI-0009,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineering,2025-11-13,"As a human endeavor, engineering has existed since ancient times, starting with the six classic simple machines",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineering. Topic: occupations.,train
EN-WIKI-0010,en,latin,USA,,web_public,https://en.wikipedia.org/wiki/Engineering,2025-11-13,"Early machines were powered by humans and animals, then later by wind",,livelihoods_and_work,engineer,stereotypes,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Source: en.wikipedia.org. Article: Engineering. Topic: occupations.,train
